id,title,serving,post_hit,created_at,updated_at,cate1,cate2,cate3,user_id
69,월남쌈 만드는법 월남쌈 레시피,3,0,2015-08-06 00:00:00.000001,2015-08-06 00:00:00.000001,기타,다이어트,채소,12
94,[삼시세끼레시피]차승원 어향가지볶음 만들기,3,0,2016-08-01 00:00:00.000001,2016-08-01 00:00:00.000001,기타,일상,채소,12
128,[간단한 국요리] 미소된장국 만드는 법 일본된장국,2,0,2015-08-07 00:00:00.000001,2015-08-07 00:00:00.000001,일식,일상,콩/견과류,12
70,"깐풍기 만들기, 깐풍소스 중식요리 레시피",2,0,2017-07-05 00:00:00.000001,2017-07-05 00:00:00.000001,기타,술안주,닭고기,81
71,중식 스타일~ 새우계란볶음밥...,1,0,2020-06-13 00:00:00.000001,2020-06-13 00:00:00.000001,기타,일상,해물,96
72,[이연복] 팔보채 라면! 집에서도 10분 컷! 간단하지만 럭셔리하게 만들 수 있는 레시피!,1,0,2023-10-04 00:00:00.000001,2023-10-04 00:00:00.000001,기타,원팬/스피디,면,95
74,완탕,2,0,2015-08-31 00:00:00.000001,2015-08-31 00:00:00.000001,기타,일상,돼지고기,18
130,일본식 어묵탕,2,0,2012-01-09 00:00:00.000001,2012-01-09 00:00:00.000001,일식,모임용,가공식품류,18
75,자취생 간단요리<탕수육>,3,0,2017-11-15 00:00:00.000001,2017-11-15 00:00:00.000001,기타,원팬/스피디,돼지고기,94
76,(집에서 즐기는 술안주) 고추잡채 - 홈파티 / 손님접대 요리,4,0,2018-04-05 00:00:00.000001,2018-04-05 00:00:00.000001,기타,모임용,채소,6
85,마라샹궈 만드는 법 - 집에서 술안주 만들기,4,0,2019-07-17 00:00:00.000001,2019-07-17 00:00:00.000001,기타,술안주,돼지고기,6
105,(일본가정식) 구운 주먹밥 - 야끼 오니기리,4,0,2017-08-01 00:00:00.000001,2017-08-01 00:00:00.000001,일식,원팬/스피디,쌀,6
155,코울슬로 / 양배추샐러드 만들기 - 홈파티 간단 샐러드,4,0,2018-12-05 00:00:00.000001,2018-12-05 00:00:00.000001,양식,모임용,채소,6
77,"시홍스차오지단, 중국식 토마토 계란 볶음",2,0,2015-06-24 00:00:00.000001,2015-06-24 00:00:00.000001,기타,일상,달걀/유제품,5
102,일본풍 가지덮밥,1,0,2015-06-14 00:00:00.000001,2015-06-14 00:00:00.000001,일식,원팬/스피디,채소,5
107,일본식 채소절임 츠케모노 만들기,2,0,2015-07-13 00:00:00.000001,2015-07-13 00:00:00.000001,일식,다이어트,채소,5
118,일본식 닭고기덮밥 오야코동 만들기,1,0,2015-06-17 00:00:00.000001,2015-06-17 00:00:00.000001,일식,원팬/스피디,닭고기,5
125,일본식 모둠솥밥 타키코미고항,2,0,2015-06-14 00:00:00.000001,2015-06-14 00:00:00.000001,일식,일상,쌀,5
78,"인도빵 난(Naan)만들기 | 후라이팬으로 난 굽는법 | 쫄깃한 난 만드는법 | 로티만들기 | Naan Bread Recipe | Roti, Chapati Recipe",3,0,2020-10-24 00:00:00.000001,2020-10-24 00:00:00.000001,기타,일상,밀가루,93
86,[깐풍치킨] 치킨도 먹고싶고 깐풍기도 먹고싶을땐 요거 해드세요! 너무 맛있어요,3,0,2021-01-08 00:00:00.000001,2021-01-08 00:00:00.000001,기타,술안주,닭고기,92
91,훠궈스프를 이용한 훠궈만들기 납작당면과 건두부까지 넣고 만드는 정통 훠궈의 홍탕 맛보기~~,2,0,2017-02-02 00:00:00.000001,2017-02-02 00:00:00.000001,기타,일상,소고기,91
92,삼시세끼 어촌편3 유산슬 만드는 법,4,0,2016-12-19 00:00:00.000001,2016-12-19 00:00:00.000001,기타,일상,해물,11
103,고등어데리야끼구이 만드는 법(일본식 생선요리),2,0,2017-02-06 00:00:00.000001,2017-02-06 00:00:00.000001,일식,일상,생선,11
122,캠핑요리 일본 크림스튜 만드는 법,5,0,2017-06-17 00:00:00.000001,2017-06-17 00:00:00.000001,일식,모임용,닭고기,11
93,기름 없이 볶아 다이어트에 좋은 중국식 청경채 돼지볶음,1,0,2019-03-31 00:00:00.000001,2019-03-31 00:00:00.000001,기타,다이어트,돼지고기,90
96,인도식 밀크티 차이Chai 끓여 만드는 법,2,0,2019-02-06 00:00:00.000001,2019-02-06 00:00:00.000001,기타,디저트,기타,89
97,중국집요리사 빙의!![춘장짜장밥],3,0,2016-06-13 00:00:00.000001,2016-06-13 00:00:00.000001,기타,일상,쌀,88
98,굴짬뽕 만드는 법 중국집 보다 맛있다,2,0,2018-02-10 00:00:00.000001,2018-02-10 00:00:00.000001,기타,일상,해물,9
104,고체카레로 일본식 카레 만들어요,5,0,2019-01-28 00:00:00.000001,2019-01-28 00:00:00.000001,일식,일상,소고기,9
113,일본 두부튀김 아게다시도후 홈파티음식,3,0,2018-02-06 00:00:00.000001,2018-02-06 00:00:00.000001,일식,술안주,콩/견과류,9
99,"동남아 태국 길거리 간식, 바나나로띠 만들기",1,0,2022-12-07 00:00:00.000001,2022-12-07 00:00:00.000001,기타,디저트,밀가루,19
168,스페인 타파스 요리! 양송이버섯 구이 만들기,2,0,2022-01-31 00:00:00.000001,2022-01-31 00:00:00.000001,양식,술안주,채소,19
106,소고기 감자조림 일본가정식,2,0,2015-06-14 00:00:00.000001,2015-06-14 00:00:00.000001,일식,일상,소고기,59
108,일본식 전골요리 [스키야키],2,0,2015-11-11 00:00:00.000001,2015-11-11 00:00:00.000001,일식,술안주,소고기,87
109,"일본식 우엉,당근 볶음 '킨피라'",3,0,2020-05-16 00:00:00.000001,2020-05-16 00:00:00.000001,일식,일상,채소,86
110,"일본 가정식, 간장 소고기덮밥 규동",2,0,2018-12-02 00:00:00.000001,2018-12-02 00:00:00.000001,일식,원팬/스피디,소고기,8
111,"일본 가정식, 돼지고기 생강구이!",3,0,2018-11-27 00:00:00.000001,2018-11-27 00:00:00.000001,일식,일상,돼지고기,8
129,"일본가정식, 서양에는 없는 일본의 서양파스타 나포리탄",2,0,2018-12-12 00:00:00.000001,2018-12-12 00:00:00.000001,일식,원팬/스피디,밀가루,8
112,일본식 달걀말이,2,0,2017-11-17 00:00:00.000001,2017-11-17 00:00:00.000001,일식,일상,달걀/유제품,14
115,일본 인기 도시락반찬 - 가라아게,3,0,2018-03-05 00:00:00.000001,2018-03-05 00:00:00.000001,일식,술안주,닭고기,14
114,일본식 연어덮밥(연어돈부리);사케동,1,0,2016-04-12 00:00:00.000001,2016-04-12 00:00:00.000001,일식,일상,생선,85
116,고소하고 상큼한 일본식 오이토마토무침,2,0,2020-04-09 00:00:00.000001,2020-04-09 00:00:00.000001,일식,다이어트,채소,84
